fingerprint,seed,omitted_target_family,source_slice,evaluated_source_family,method,eligible,successes,asr,asr_query_auc,normalized_action_entropy,query_budget
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,exact_source,transformer,score_greedy,304,30,0.09868421,0.04381579,0.99963087,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,seen_family_new_instance,modern_cnn,bandit_action,182,2,0.01098901,0.00813187,0.99190754,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,seen_family_new_instance,modern_cnn,gradient_bc_groupdro_ppo_stochastic,182,9,0.04945055,0.01906593,0.95368154,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,seen_family_new_instance,modern_cnn,gradient_bc_only_stochastic,182,7,0.03846154,0.01302198,0.96560508,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,seen_family_new_instance,modern_cnn,ppo_only_stochastic,182,8,0.04395604,0.01593407,0.99712045,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,seen_family_new_instance,modern_cnn,random_action,182,7,0.03846154,0.01170330,0.99886021,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,seen_family_new_instance,modern_cnn,score_greedy,182,6,0.03296703,0.01010989,0.99947294,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,seen_family_new_instance,transformer,bandit_action,146,7,0.04794521,0.03869863,0.98884614,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,seen_family_new_instance,transformer,gradient_bc_groupdro_ppo_stochastic,146,16,0.10958904,0.05493151,0.95296327,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,seen_family_new_instance,transformer,gradient_bc_only_stochastic,146,16,0.10958904,0.05849315,0.96569204,50
6d11c250e8ea40fb29ee98e5079687f1765da83099a9673bb3eee0ef243a54a5,41,classical_cnn,seen_family_new_instance,transformer,ppo_only_stochastic,146,12,0.08219178,0.04561644,0.99645473,50
